id,name,parent_id,color,label_tree_id,source_id,rank,scientificname,status,valid_AphiaID,valid_name,valid_rank
445835,Aphrocallistidae,443791,ba66ff,3270,131686,Family,Aphrocallistidae,accepted,131686,Aphrocallistidae,Family
445836,Aphrocallistes,445835,ba66ff,3270,132099,Genus,Aphrocallistes,accepted,132099,Aphrocallistes,Genus
445837,Aphrocallistes beatrix,445836,ba66ff,3270,134380,Species,Aphrocallistes beatrix,accepted,134380,Aphrocallistes beatrix,Species
445838,Aphrocallistes beatrix beatrix,445837,ba66ff,3270,195837,Subspecies,Aphrocallistes beatrix beatrix,accepted,195837,Aphrocallistes beatrix beatrix,Subspecies
445839,Calyptopora,443505,c50707,3270,174809,Genus,Calyptopora,accepted,174809,Calyptopora,Genus
445840,Calyptopora sp.,445839,c50707,3270,,Arbitrary,,,,,
445841,Dactylia,444753,ba66ff,3270,166257,Genus,Dactylia,accepted,166257,Dactylia,Genus
445842,Dactylia palmata,445841,ff6666,3270,166269,Species,Dactylia palmata,unaccepted,166273,Dactylia varia,Species
445843,Brucerolis,443578,f230b8,3270,413527,Genus,Brucerolis,accepted,413527,Brucerolis,Genus
445844,TAN1303 ASC transparent,443282,bbaaaa,3270,,Arbitrary,,,,,
445845,Lissodendoryx,444539,ba66ff,3270,131930,Genus,Lissodendoryx,accepted,131930,Lissodendoryx,Genus
445846,Lissodendoryx (Ectyodoryx),445845,ba66ff,3270,168908,Subgenus,Lissodendoryx (Ectyodoryx),accepted,168908,Lissodendoryx (Ectyodoryx),Subgenus
445847,Lissodendoryx (Lissodendoryx),445845,ba66ff,3270,168935,Subgenus,Lissodendoryx (Lissodendoryx),accepted,168935,Lissodendoryx (Lissodendoryx),Subgenus
445848,Cinachyra barbata_ERROR,444507,ff6666,3270,,Arbitrary,,,,,
445849,Hexactinosida_ERROR,443255,ff6666,3270,,Arbitrary,,,,,
445850,Homoieurete,444570,ba66ff,3270,577460,Genus,Homoieurete,accepted,577460,Homoieurete,Genus
445851,Homoieurete macquariense,445850,ba66ff,3270,577461,Species,Homoieurete macquariense,accepted,577461,Homoieurete macquariense,Species
445852,Actinostoloidea,444307,c50707,3270,888374,Superfamily,Actinostoloidea,accepted,888374,Actinostoloidea,Superfamily
445853,Actinostolidae,445852,bd0707,3270,100655,Family,Actinostolidae,accepted,100655,Actinostolidae,Family
445854,Pyuridae,445563,30c8f2,3270,103449,Family,Pyuridae,accepted,103449,Pyuridae,Family
445855,Culeolus,445854,30c8f2,3270,103517,Genus,Culeolus,accepted,103517,Culeolus,Genus
445856,Culeolus?,445855,30c8f2,3270,,Arbitrary,,,,,
